experiment	instrument	ms_ms_identified_percent	ms_ms	ms_ms_submitted	ms_ms_identified	peptide_sequences_identified	peaks_sequenced_percent	peaks_repeatedly_sequenced_percent	evidence__m_z	evidence__mass	evidence__score	evidence__uncalibrated_calibrated_m_z_ppm	evidence__mass_error_ppm	evidence__uncalibrated_mass_error_ppm	evidence__max_intensity_m_z_0	evidence__retention_length	evidence__number_of_data_points	evidence__number_of_scans	evidence__intensity	evidence__charge2_prop	evidence__ms_ms_count1_prop	ms_scan__cycle_time	ms_scan__ion_injection_time	ms_scan__total_ion_current	ms_scan__base_peak_intensity	ms_scan__peak_length	ms_scan__identified_multiplets_s	ms_scan__ms_ms_s	ms_scan__identified_ms_ms_s	ms_scan__ms_ms_identification_rate_percent	ms_scan__intens_comp_factor	ms_scan__ctcd_comp	ms_scan__raw_ov_ft_t	ms_scan__agc_fill	msms_scan__ion_injection_time	msms_scan__total_ion_current	msms_scan__collision_energy	msms_scan__base_peak_intensity	msms_scan__precursor_intensity	msms_scan__score	protein_counts	performance
HF221102_02	hf	39	49706	54225	21259	14380	5.8	19	603.657567	1351.72821	64.55	0.0797675	0.025293	-0.000796075	606.799501285761	0.57961	79	28	21.6805449426081	8.84603758255366	8.92852149823179	0.34515	10	25.3580681622443	21.3757055259118	6.686	0.8159	6.282	1.198	17.34	0.9327	1.439	19.6656431664609	0.620000004768372	65	17.4874632362653	28	14.6581277841011	18.6691973079907	21.3721934099653	1945	bad
HF221102_03	hf	38	49328	53857	20357	13976	5.8	19	602.81967	1347.59764	64.711	0.202095	0.0438665	0.132525	605.596909210959	0.56908	77	28	21.6818534788694	8.83990421416225	8.92484686371878	0.34378	10	25.358822724112	21.502177218945	5.983	0.7298	6.2125	1.044	17.29	0.93325	1.399	19.6682562981935	0.589999973773956	65	17.4304117133537	28	14.6268212521458	18.6062369998865	19.8388077675021	1907	bad
HF221109_01	hf	19	34515	37152	7111	5035	4	23	575.3076665	1261.64453	56.563	0.3003	0.048269	0.25975	577.2858630615	0.648615	135	47	21.6624910593143	7.90312663844116	7.90092156655296	0.24307	10	23.2239527865823	18.6725910832596	3.817	0.06609	1.639	0.08271	6.651	0.7027	1.19	17.9693775269561	0.0599999986588955	65	16.55952646722	28	14.3011389065286	18.015911818913	10.4141417387287	835	bad
HF221109_02	hf	18	36340	39247	6944	5125	4.1	20	584.788901	1281.64612	57.281	0.36077	0.056234	0.29923	584.789622741094	0.61947	119	41.5	21.7108911673188	7.95324517202101	8.03303674720206	0.24307	10	23.5656971268492	18.9294317990633	4.056	0.08785	1.919	0.1133	6.808	0.7256	1.239	18.2599147096011	0.0700000002980232	65	16.6563410611784	28	14.3002095422324	18.0293027524611	11.0690697093858	852	bad
HF221109_03	hf	18	36079	38827	7178	5194	4.3	20	585.337498	1279.6633	55.426	0.29108	0.057024	0.27581	586.319480916448	0.61745	125	43	21.6342704344626	7.94376591165784	7.99721420637001	0.24307	10	23.1327318994202	18.5517045040471	4.029	0.095685	1.75	0.1273	7	0.69605	1.263	17.8937130252173	0.0599999986588955	65	16.6176970293079	28	14.2854022188622	17.966774916763	10.8295177454332	867	bad
HF221128_02	hf	49	53931	58941	28625	17743	6	21	666.300407	1505.718665	73.067	2.49215	-0.022557	2.42065	671.31806361824	0.594555	67	25	21.8177675102827	9.05408383218083	9.12291311484698	0.44266	10	25.4120599027041	20.6150404621794	6.994	1.173	7.35	2.321	30.64	0.9429	2.482	19.7095224013329	0.550000011920929	65	18.7037751804144	28	15.5131415671086	19.2897460049982	35.5110771729697	2427	good
HF221128_03	hf	48	54082	58996	28028	18078	6.4	20	653.997706	1468.71981	72.643	2.2055	-0.0228175	2.1364	657.345143146803	0.57567	65	24	21.8592564711214	9.10192697282681	9.17404729434063	0.44083	10	25.2884166416881	20.6346692689283	7.4035	1.3335	7.229	2.1755	27.345	0.92255	2.394	19.6210865292529	0.504999995231628	65	18.550427402374	28	15.3918812743729	19.2134351858318	33.7383272116569	2471	good
HF221129_01	hf	39	47449	52702	20745	12785	5.2	21	646.7987715	1472.771655	58.981	1.4039	0.012635	1.3694	649.822783395163	0.58678	97	37	20.742875180794	8.57380560512902	8.68076548265111	0.3447	10	24.7984518162631	20.7159887915104	5.914	1.312	6.568	2.215	35.03	0.84965	2.778	19.2514336297841	0.419999986886978	65	17.1264624978826	28	14.3795137487671	17.8947151828491	19.6043604628175	1695	bad
HF221129_02	hf	50	55925	60876	30148	19065	6.6	20	659.640136	1505.73956	74.439	2.0062	-0.0033734	1.9582	662.808148309536	0.581105	66	25	21.9839670730169	9.0804897320766	9.19940840874427	0.59566	10	26.2185051304285	21.4302789101457	9.2825	2.081	8.5445	3.429	42.585	1.07845	2.176	20.2478907410723	0.839999973773956	65	18.8308989041146	28	15.5999418910055	19.4237385108092	37.378570387133	2515	good
HF221201_01	hf	47	50623	55583	25882	16145	5.7	22	635.64388	1403.71975	73.389	2.59945	-0.001478	2.51375	637.830343215049	0.60827	73	28	21.9754379751992	9.10043934845341	8.97172970097202	0.33188	10	24.7790644531129	20.2997222804204	5.051	0.6375	5.287	1.024	20.62	0.8464	3.155	19.2327214105029	0.560000002384186	65	18.6784144538831	28	15.5171772526895	19.3274181910146	34.8241575439641	2308	good
